row_number,arc_minutes_total,arc_normalized,modern_formula_chord,modern_formula_chord_total_seconds,modern_formula_sixtieths_per_arc_minute,modern_formula_increment_total_seconds_from_previous_half_degree,calculation_method,source_role
1,30,0°30′,"0;31,25",1885,"0;01,02,50",1885,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
2,60,1°,"1;02,50",3770,"0;01,02,50",1885,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
3,90,1°30′,"1;34,15",5655,"0;01,02,50",1885,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
4,120,2°,"2;05,39",7539,"0;01,02,48",1884,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
5,150,2°30′,"2;37,04",9424,"0;01,02,50",1885,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
6,180,3°,"3;08,28",11308,"0;01,02,48",1884,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
7,210,3°30′,"3;39,53",13193,"0;01,02,50",1885,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
8,240,4°,"4;11,17",15077,"0;01,02,48",1884,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
9,270,4°30′,"4;42,40",16960,"0;01,02,46",1883,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
10,300,5°,"5;14,04",18844,"0;01,02,48",1884,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
11,330,5°30′,"5;45,27",20727,"0;01,02,46",1883,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
12,360,6°,"6;16,49",22609,"0;01,02,44",1882,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
13,390,6°30′,"6;48,11",24491,"0;01,02,44",1882,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
14,420,7°,"7;19,33",26373,"0;01,02,44",1882,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
15,450,7°30′,"7;50,54",28254,"0;01,02,42",1881,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
16,480,8°,"8;22,15",30135,"0;01,02,42",1881,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
17,510,8°30′,"8;53,35",32015,"0;01,02,40",1880,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
18,540,9°,"9;24,54",33894,"0;01,02,38",1879,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
19,570,9°30′,"9;56,13",35773,"0;01,02,38",1879,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
20,600,10°,"10;27,31",37651,"0;01,02,36",1878,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
21,630,10°30′,"10;58,49",39529,"0;01,02,36",1878,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
22,660,11°,"11;30,05",41405,"0;01,02,32",1876,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
23,690,11°30′,"12;01,21",43281,"0;01,02,32",1876,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
24,720,12°,"12;32,36",45156,"0;01,02,30",1875,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
25,750,12°30′,"13;03,50",47030,"0;01,02,28",1874,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
26,780,13°,"13;35,04",48904,"0;01,02,28",1874,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
27,810,13°30′,"14;06,16",50776,"0;01,02,24",1872,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
28,840,14°,"14;37,28",52648,"0;01,02,24",1872,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
29,870,14°30′,"15;08,38",54518,"0;01,02,20",1870,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
30,900,15°,"15;39,47",56387,"0;01,02,18",1869,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
31,930,15°30′,"16;10,56",58256,"0;01,02,18",1869,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
32,960,16°,"16;42,03",60123,"0;01,02,14",1867,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
33,990,16°30′,"17;13,09",61989,"0;01,02,12",1866,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
34,1020,17°,"17;44,14",63854,"0;01,02,10",1865,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
35,1050,17°30′,"18;15,17",65717,"0;01,02,06",1863,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
36,1080,18°,"18;46,20",67580,"0;01,02,06",1863,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
37,1110,18°30′,"19;17,21",69441,"0;01,02,02",1861,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
38,1140,19°,"19;48,21",71301,"0;01,02,00",1860,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
39,1170,19°30′,"20;19,19",73159,"0;01,01,56",1858,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
40,1200,20°,"20;50,16",75016,"0;01,01,54",1857,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
41,1230,20°30′,"21;21,12",76872,"0;01,01,52",1856,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
42,1260,21°,"21;52,06",78726,"0;01,01,48",1854,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
43,1290,21°30′,"22;22,58",80578,"0;01,01,44",1852,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
44,1320,22°,"22;53,49",82429,"0;01,01,42",1851,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
45,1350,22°30′,"23;24,39",84279,"0;01,01,40",1850,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
46,1380,23°,"23;55,27",86127,"0;01,01,36",1848,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
47,1410,23°30′,"24;26,13",87973,"0;01,01,32",1846,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
48,1440,24°,"24;56,58",89818,"0;01,01,30",1845,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
49,1470,24°30′,"25;27,41",91661,"0;01,01,26",1843,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
50,1500,25°,"25;58,22",93502,"0;01,01,22",1841,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
51,1530,25°30′,"26;29,01",95341,"0;01,01,18",1839,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
52,1560,26°,"26;59,39",97179,"0;01,01,16",1838,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
53,1590,26°30′,"27;30,15",99015,"0;01,01,12",1836,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
54,1620,27°,"28;00,48",100848,"0;01,01,06",1833,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
55,1650,27°30′,"28;31,20",102680,"0;01,01,04",1832,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
56,1680,28°,"29;01,50",104510,"0;01,01,00",1830,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
57,1710,28°30′,"29;32,18",106338,"0;01,00,56",1828,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
58,1740,29°,"30;02,44",108164,"0;01,00,52",1826,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
59,1770,29°30′,"30;33,08",109988,"0;01,00,48",1824,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
60,1800,30°,"31;03,30",111810,"0;01,00,44",1822,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
61,1830,30°30′,"31;33,49",113629,"0;01,00,38",1819,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
62,1860,31°,"32;04,07",115447,"0;01,00,36",1818,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
63,1890,31°30′,"32;34,22",117262,"0;01,00,30",1815,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
64,1920,32°,"33;04,35",119075,"0;01,00,26",1813,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
65,1950,32°30′,"33;34,46",120886,"0;01,00,22",1811,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
66,1980,33°,"34;04,55",122695,"0;01,00,18",1809,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
67,2010,33°30′,"34;35,01",124501,"0;01,00,12",1806,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
68,2040,34°,"35;05,05",126305,"0;01,00,08",1804,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
69,2070,34°30′,"35;35,06",128106,"0;01,00,02",1801,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
70,2100,35°,"36;05,05",129905,"0;00,59,58",1799,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
71,2130,35°30′,"36;35,01",131701,"0;00,59,52",1796,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
72,2160,36°,"37;04,55",133495,"0;00,59,48",1794,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
73,2190,36°30′,"37;34,47",135287,"0;00,59,44",1792,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
74,2220,37°,"38;04,36",137076,"0;00,59,38",1789,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
75,2250,37°30′,"38;34,22",138862,"0;00,59,32",1786,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
76,2280,38°,"39;04,05",140645,"0;00,59,26",1783,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
77,2310,38°30′,"39;33,46",142426,"0;00,59,22",1781,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
78,2340,39°,"40;03,25",144205,"0;00,59,18",1779,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
79,2370,39°30′,"40;33,00",145980,"0;00,59,10",1775,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
80,2400,40°,"41;02,33",147753,"0;00,59,06",1773,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
81,2430,40°30′,"41;32,03",149523,"0;00,59,00",1770,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
82,2460,41°,"42;01,30",151290,"0;00,58,54",1767,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
83,2490,41°30′,"42;30,54",153054,"0;00,58,48",1764,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
84,2520,42°,"43;00,15",154815,"0;00,58,42",1761,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
85,2550,42°30′,"43;29,33",156573,"0;00,58,36",1758,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
86,2580,43°,"43;58,49",158329,"0;00,58,32",1756,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
87,2610,43°30′,"44;28,01",160081,"0;00,58,24",1752,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
88,2640,44°,"44;57,10",161830,"0;00,58,18",1749,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
89,2670,44°30′,"45;26,16",163576,"0;00,58,12",1746,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
90,2700,45°,"45;55,19",165319,"0;00,58,06",1743,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
91,2730,45°30′,"46;24,19",167059,"0;00,58,00",1740,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
92,2760,46°,"46;53,16",168796,"0;00,57,54",1737,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
93,2790,46°30′,"47;22,09",170529,"0;00,57,46",1733,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
94,2820,47°,"47;51,00",172260,"0;00,57,42",1731,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
95,2850,47°30′,"48;19,47",173987,"0;00,57,34",1727,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
96,2880,48°,"48;48,30",175710,"0;00,57,26",1723,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
97,2910,48°30′,"49;17,11",177431,"0;00,57,22",1721,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
98,2940,49°,"49;45,47",179147,"0;00,57,12",1716,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
99,2970,49°30′,"50;14,21",180861,"0;00,57,08",1714,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
100,3000,50°,"50;42,51",182571,"0;00,57,00",1710,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
101,3030,50°30′,"51;11,18",184278,"0;00,56,54",1707,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
102,3060,51°,"51;39,41",185981,"0;00,56,46",1703,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
103,3090,51°30′,"52;08,00",187680,"0;00,56,38",1699,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
104,3120,52°,"52;36,16",189376,"0;00,56,32",1696,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
105,3150,52°30′,"53;04,29",191069,"0;00,56,26",1693,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
106,3180,53°,"53;32,37",192757,"0;00,56,16",1688,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
107,3210,53°30′,"54;00,43",194443,"0;00,56,12",1686,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
108,3240,54°,"54;28,44",196124,"0;00,56,02",1681,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
109,3270,54°30′,"54;56,42",197802,"0;00,55,56",1678,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
110,3300,55°,"55;24,35",199475,"0;00,55,46",1673,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
111,3330,55°30′,"55;52,25",201145,"0;00,55,40",1670,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
112,3360,56°,"56;20,12",202812,"0;00,55,34",1667,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
113,3390,56°30′,"56;47,54",204474,"0;00,55,24",1662,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
114,3420,57°,"57;15,33",206133,"0;00,55,18",1659,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
115,3450,57°30′,"57;43,07",207787,"0;00,55,08",1654,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
116,3480,58°,"58;10,38",209438,"0;00,55,02",1651,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
117,3510,58°30′,"58;38,04",211084,"0;00,54,52",1646,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
118,3540,59°,"59;05,27",212727,"0;00,54,46",1643,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
119,3570,59°30′,"59;32,46",214366,"0;00,54,38",1639,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
120,3600,60°,"60;00,00",216000,"0;00,54,28",1634,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
