row_number,arc_minutes_total,arc_normalized,modern_formula_chord,modern_formula_chord_total_seconds,modern_formula_sixtieths_per_arc_minute,modern_formula_increment_total_seconds_from_previous_half_degree,calculation_method,source_role
121,3630,60°30′,"60;27,10",217630,"0;00,54,20",1630,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
122,3660,61°,"60;54,17",219257,"0;00,54,14",1627,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
123,3690,61°30′,"61;21,19",220879,"0;00,54,04",1622,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
124,3720,62°,"61;48,16",222496,"0;00,53,54",1617,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
125,3750,62°30′,"62;15,10",224110,"0;00,53,48",1614,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
126,3780,63°,"62;41,59",225719,"0;00,53,38",1609,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
127,3810,63°30′,"63;08,44",227324,"0;00,53,30",1605,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
128,3840,64°,"63;35,25",228925,"0;00,53,22",1601,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
129,3870,64°30′,"64;02,01",230521,"0;00,53,12",1596,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
130,3900,65°,"64;28,33",232113,"0;00,53,04",1592,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
131,3930,65°30′,"64;55,01",233701,"0;00,52,56",1588,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
132,3960,66°,"65;21,24",235284,"0;00,52,46",1583,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
133,3990,66°30′,"65;47,43",236863,"0;00,52,38",1579,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
134,4020,67°,"66;13,57",238437,"0;00,52,28",1574,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
135,4050,67°30′,"66;40,06",240006,"0;00,52,18",1569,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
136,4080,68°,"67;06,11",241571,"0;00,52,10",1565,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
137,4110,68°30′,"67;32,12",243132,"0;00,52,02",1561,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
138,4140,69°,"67;58,07",244687,"0;00,51,50",1555,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
139,4170,69°30′,"68;23,59",246239,"0;00,51,44",1552,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
140,4200,70°,"68;49,45",247785,"0;00,51,32",1546,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
141,4230,70°30′,"69;15,27",249327,"0;00,51,24",1542,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
142,4260,71°,"69;41,04",250864,"0;00,51,14",1537,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
143,4290,71°30′,"70;06,36",252396,"0;00,51,04",1532,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
144,4320,72°,"70;32,03",253923,"0;00,50,54",1527,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
145,4350,72°30′,"70;57,26",255446,"0;00,50,46",1523,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
146,4380,73°,"71;22,43",256963,"0;00,50,34",1517,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
147,4410,73°30′,"71;47,56",258476,"0;00,50,26",1513,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
148,4440,74°,"72;13,04",259984,"0;00,50,16",1508,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
149,4470,74°30′,"72;38,07",261487,"0;00,50,06",1503,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
150,4500,75°,"73;03,05",262985,"0;00,49,56",1498,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
151,4530,75°30′,"73;27,58",264478,"0;00,49,46",1493,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
152,4560,76°,"73;52,46",265966,"0;00,49,36",1488,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
153,4590,76°30′,"74;17,29",267449,"0;00,49,26",1483,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
154,4620,77°,"74;42,06",268926,"0;00,49,14",1477,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
155,4650,77°30′,"75;06,39",270399,"0;00,49,06",1473,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
156,4680,78°,"75;31,06",271866,"0;00,48,54",1467,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
157,4710,78°30′,"75;55,29",273329,"0;00,48,46",1463,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
158,4740,79°,"76;19,46",274786,"0;00,48,34",1457,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
159,4770,79°30′,"76;43,58",276238,"0;00,48,24",1452,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
160,4800,80°,"77;08,04",277684,"0;00,48,12",1446,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
161,4830,80°30′,"77;32,06",279126,"0;00,48,04",1442,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
162,4860,81°,"77;56,02",280562,"0;00,47,52",1436,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
163,4890,81°30′,"78;19,52",281992,"0;00,47,40",1430,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
164,4920,82°,"78;43,38",283418,"0;00,47,32",1426,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
165,4950,82°30′,"79;07,17",284837,"0;00,47,18",1419,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
166,4980,83°,"79;30,52",286252,"0;00,47,10",1415,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
167,5010,83°30′,"79;54,21",287661,"0;00,46,58",1409,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
168,5040,84°,"80;17,44",289064,"0;00,46,46",1403,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
169,5070,84°30′,"80;41,02",290462,"0;00,46,36",1398,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
170,5100,85°,"81;04,15",291855,"0;00,46,26",1393,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
171,5130,85°30′,"81;27,22",293242,"0;00,46,14",1387,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
172,5160,86°,"81;50,23",294623,"0;00,46,02",1381,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
173,5190,86°30′,"82;13,19",295999,"0;00,45,52",1376,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
174,5220,87°,"82;36,09",297369,"0;00,45,40",1370,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
175,5250,87°30′,"82;58,54",298734,"0;00,45,30",1365,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
176,5280,88°,"83;21,32",300092,"0;00,45,16",1358,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
177,5310,88°30′,"83;44,05",301445,"0;00,45,06",1353,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
178,5340,89°,"84;06,33",302793,"0;00,44,56",1348,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
179,5370,89°30′,"84;28,54",304134,"0;00,44,42",1341,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
180,5400,90°,"84;51,10",305470,"0;00,44,32",1336,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
181,5430,90°30′,"85;13,20",306800,"0;00,44,20",1330,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
182,5460,91°,"85;35,24",308124,"0;00,44,08",1324,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
183,5490,91°30′,"85;57,22",309442,"0;00,43,56",1318,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
184,5520,92°,"86;19,15",310755,"0;00,43,46",1313,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
185,5550,92°30′,"86;41,01",312061,"0;00,43,32",1306,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
186,5580,93°,"87;02,42",313362,"0;00,43,22",1301,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
187,5610,93°30′,"87;24,16",314656,"0;00,43,08",1294,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
188,5640,94°,"87;45,45",315945,"0;00,42,58",1289,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
189,5670,94°30′,"88;07,07",317227,"0;00,42,44",1282,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
190,5700,95°,"88;28,24",318504,"0;00,42,34",1277,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
191,5730,95°30′,"88;49,34",319774,"0;00,42,20",1270,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
192,5760,96°,"89;10,39",321039,"0;00,42,10",1265,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
193,5790,96°30′,"89;31,37",322297,"0;00,41,56",1258,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
194,5820,97°,"89;52,29",323549,"0;00,41,44",1252,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
195,5850,97°30′,"90;13,15",324795,"0;00,41,32",1246,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
196,5880,98°,"90;33,55",326035,"0;00,41,20",1240,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
197,5910,98°30′,"90;54,28",327268,"0;00,41,06",1233,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
198,5940,99°,"91;14,55",328495,"0;00,40,54",1227,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
199,5970,99°30′,"91;35,16",329716,"0;00,40,42",1221,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
200,6000,100°,"91;55,31",330931,"0;00,40,30",1215,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
201,6030,100°30′,"92;15,40",332140,"0;00,40,18",1209,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
202,6060,101°,"92;35,42",333342,"0;00,40,04",1202,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
203,6090,101°30′,"92;55,38",334538,"0;00,39,52",1196,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
204,6120,102°,"93;15,27",335727,"0;00,39,38",1189,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
205,6150,102°30′,"93;35,10",336910,"0;00,39,26",1183,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
206,6180,103°,"93;54,47",338087,"0;00,39,14",1177,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
207,6210,103°30′,"94;14,17",339257,"0;00,39,00",1170,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
208,6240,104°,"94;33,41",340421,"0;00,38,48",1164,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
209,6270,104°30′,"94;52,58",341578,"0;00,38,34",1157,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
210,6300,105°,"95;12,09",342729,"0;00,38,22",1151,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
211,6330,105°30′,"95;31,13",343873,"0;00,38,08",1144,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
212,6360,106°,"95;50,11",345011,"0;00,37,56",1138,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
213,6390,106°30′,"96;09,02",346142,"0;00,37,42",1131,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
214,6420,107°,"96;27,46",347266,"0;00,37,28",1124,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
215,6450,107°30′,"96;46,24",348384,"0;00,37,16",1118,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
216,6480,108°,"97;04,55",349495,"0;00,37,02",1111,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
217,6510,108°30′,"97;23,20",350600,"0;00,36,50",1105,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
218,6540,109°,"97;41,38",351698,"0;00,36,36",1098,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
219,6570,109°30′,"97;59,49",352789,"0;00,36,22",1091,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
220,6600,110°,"98;17,54",353874,"0;00,36,10",1085,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
221,6630,110°30′,"98;35,51",354951,"0;00,35,54",1077,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
222,6660,111°,"98;53,43",356023,"0;00,35,44",1072,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
223,6690,111°30′,"99;11,27",357087,"0;00,35,28",1064,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
224,6720,112°,"99;29,04",358144,"0;00,35,14",1057,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
225,6750,112°30′,"99;46,35",359195,"0;00,35,02",1051,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
226,6780,113°,"100;03,59",360239,"0;00,34,48",1044,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
227,6810,113°30′,"100;21,16",361276,"0;00,34,34",1037,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
228,6840,114°,"100;38,26",362306,"0;00,34,20",1030,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
229,6870,114°30′,"100;55,29",363329,"0;00,34,06",1023,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
230,6900,115°,"101;12,25",364345,"0;00,33,52",1016,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
231,6930,115°30′,"101;29,14",365354,"0;00,33,38",1009,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
232,6960,116°,"101;45,57",366357,"0;00,33,26",1003,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
233,6990,116°30′,"102;02,32",367352,"0;00,33,10",995,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
234,7020,117°,"102;19,01",368341,"0;00,32,58",989,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
235,7050,117°30′,"102;35,22",369322,"0;00,32,42",981,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
236,7080,118°,"102;51,36",370296,"0;00,32,28",974,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
237,7110,118°30′,"103;07,44",371264,"0;00,32,16",968,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
238,7140,119°,"103;23,44",372224,"0;00,32,00",960,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
239,7170,119°30′,"103;39,37",373177,"0;00,31,46",953,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
240,7200,120°,"103;55,23",374123,"0;00,31,32",946,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
