row_number,arc_minutes_total,arc_normalized,modern_formula_chord,modern_formula_chord_total_seconds,modern_formula_sixtieths_per_arc_minute,modern_formula_increment_total_seconds_from_previous_half_degree,calculation_method,source_role
241,7230,120°30′,"104;11,02",375062,"0;00,31,18",939,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
242,7260,121°,"104;26,34",375994,"0;00,31,04",932,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
243,7290,121°30′,"104;41,58",376918,"0;00,30,48",924,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
244,7320,122°,"104;57,16",377836,"0;00,30,36",918,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
245,7350,122°30′,"105;12,26",378746,"0;00,30,20",910,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
246,7380,123°,"105;27,29",379649,"0;00,30,06",903,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
247,7410,123°30′,"105;42,25",380545,"0;00,29,52",896,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
248,7440,124°,"105;57,13",381433,"0;00,29,36",888,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
249,7470,124°30′,"106;11,55",382315,"0;00,29,24",882,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
250,7500,125°,"106;26,29",383189,"0;00,29,08",874,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
251,7530,125°30′,"106;40,55",384055,"0;00,28,52",866,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
252,7560,126°,"106;55,15",384915,"0;00,28,40",860,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
253,7590,126°30′,"107;09,27",385767,"0;00,28,24",852,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
254,7620,127°,"107;23,32",386612,"0;00,28,10",845,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
255,7650,127°30′,"107;37,29",387449,"0;00,27,54",837,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
256,7680,128°,"107;51,19",388279,"0;00,27,40",830,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
257,7710,128°30′,"108;05,02",389102,"0;00,27,26",823,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
258,7740,129°,"108;18,37",389917,"0;00,27,10",815,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
259,7770,129°30′,"108;32,05",390725,"0;00,26,56",808,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
260,7800,130°,"108;45,25",391525,"0;00,26,40",800,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
261,7830,130°30′,"108;58,38",392318,"0;00,26,26",793,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
262,7860,131°,"109;11,43",393103,"0;00,26,10",785,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
263,7890,131°30′,"109;24,41",393881,"0;00,25,56",778,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
264,7920,132°,"109;37,32",394652,"0;00,25,42",771,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
265,7950,132°30′,"109;50,15",395415,"0;00,25,26",763,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
266,7980,133°,"110;02,50",396170,"0;00,25,10",755,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
267,8010,133°30′,"110;15,18",396918,"0;00,24,56",748,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
268,8040,134°,"110;27,38",397658,"0;00,24,40",740,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
269,8070,134°30′,"110;39,51",398391,"0;00,24,26",733,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
270,8100,135°,"110;51,56",399116,"0;00,24,10",725,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
271,8130,135°30′,"111;03,53",399833,"0;00,23,54",717,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
272,8160,136°,"111;15,43",400543,"0;00,23,40",710,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
273,8190,136°30′,"111;27,26",401246,"0;00,23,26",703,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
274,8220,137°,"111;39,00",401940,"0;00,23,08",694,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
275,8250,137°30′,"111;50,27",402627,"0;00,22,54",687,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
276,8280,138°,"112;01,47",403307,"0;00,22,40",680,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
277,8310,138°30′,"112;12,58",403978,"0;00,22,22",671,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
278,8340,139°,"112;24,02",404642,"0;00,22,08",664,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
279,8370,139°30′,"112;34,59",405299,"0;00,21,54",657,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
280,8400,140°,"112;45,47",405947,"0;00,21,36",648,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
281,8430,140°30′,"112;56,28",406588,"0;00,21,22",641,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
282,8460,141°,"113;07,01",407221,"0;00,21,06",633,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
283,8490,141°30′,"113;17,26",407846,"0;00,20,50",625,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
284,8520,142°,"113;27,44",408464,"0;00,20,36",618,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
285,8550,142°30′,"113;37,54",409074,"0;00,20,20",610,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
286,8580,143°,"113;47,56",409676,"0;00,20,04",602,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
287,8610,143°30′,"113;57,50",410270,"0;00,19,48",594,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
288,8640,144°,"114;07,36",410856,"0;00,19,32",586,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
289,8670,144°30′,"114;17,15",411435,"0;00,19,18",579,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
290,8700,145°,"114;26,46",412006,"0;00,19,02",571,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
291,8730,145°30′,"114;36,09",412569,"0;00,18,46",563,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
292,8760,146°,"114;45,24",413124,"0;00,18,30",555,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
293,8790,146°30′,"114;54,31",413671,"0;00,18,14",547,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
294,8820,147°,"115;03,30",414210,"0;00,17,58",539,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
295,8850,147°30′,"115;12,22",414742,"0;00,17,44",532,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
296,8880,148°,"115;21,05",415265,"0;00,17,26",523,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
297,8910,148°30′,"115;29,41",415781,"0;00,17,12",516,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
298,8940,149°,"115;38,08",416288,"0;00,16,54",507,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
299,8970,149°30′,"115;46,28",416788,"0;00,16,40",500,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
300,9000,150°,"115;54,40",417280,"0;00,16,24",492,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
301,9030,150°30′,"116;02,44",417764,"0;00,16,08",484,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
302,9060,151°,"116;10,40",418240,"0;00,15,52",476,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
303,9090,151°30′,"116;18,28",418708,"0;00,15,36",468,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
304,9120,152°,"116;26,08",419168,"0;00,15,20",460,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
305,9150,152°30′,"116;33,40",419620,"0;00,15,04",452,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
306,9180,153°,"116;41,04",420064,"0;00,14,48",444,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
307,9210,153°30′,"116;48,20",420500,"0;00,14,32",436,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
308,9240,154°,"116;55,28",420928,"0;00,14,16",428,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
309,9270,154°30′,"117;02,28",421348,"0;00,14,00",420,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
310,9300,155°,"117;09,20",421760,"0;00,13,44",412,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
311,9330,155°30′,"117;16,04",422164,"0;00,13,28",404,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
312,9360,156°,"117;22,40",422560,"0;00,13,12",396,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
313,9390,156°30′,"117;29,08",422948,"0;00,12,56",388,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
314,9420,157°,"117;35,27",423327,"0;00,12,38",379,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
315,9450,157°30′,"117;41,39",423699,"0;00,12,24",372,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
316,9480,158°,"117;47,43",424063,"0;00,12,08",364,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
317,9510,158°30′,"117;53,39",424419,"0;00,11,52",356,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
318,9540,159°,"117;59,26",424766,"0;00,11,34",347,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
319,9570,159°30′,"118;05,06",425106,"0;00,11,20",340,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
320,9600,160°,"118;10,37",425437,"0;00,11,02",331,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
321,9630,160°30′,"118;16,00",425760,"0;00,10,46",323,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
322,9660,161°,"118;21,15",426075,"0;00,10,30",315,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
323,9690,161°30′,"118;26,22",426382,"0;00,10,14",307,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
324,9720,162°,"118;31,21",426681,"0;00,09,58",299,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
325,9750,162°30′,"118;36,12",426972,"0;00,09,42",291,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
326,9780,163°,"118;40,55",427255,"0;00,09,26",283,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
327,9810,163°30′,"118;45,29",427529,"0;00,09,08",274,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
328,9840,164°,"118;49,56",427796,"0;00,08,54",267,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
329,9870,164°30′,"118;54,14",428054,"0;00,08,36",258,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
330,9900,165°,"118;58,24",428304,"0;00,08,20",250,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
331,9930,165°30′,"119;02,26",428546,"0;00,08,04",242,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
332,9960,166°,"119;06,20",428780,"0;00,07,48",234,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
333,9990,166°30′,"119;10,06",429006,"0;00,07,32",226,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
334,10020,167°,"119;13,43",429223,"0;00,07,14",217,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
335,10050,167°30′,"119;17,12",429432,"0;00,06,58",209,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
336,10080,168°,"119;20,33",429633,"0;00,06,42",201,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
337,10110,168°30′,"119;23,46",429826,"0;00,06,26",193,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
338,10140,169°,"119;26,51",430011,"0;00,06,10",185,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
339,10170,169°30′,"119;29,48",430188,"0;00,05,54",177,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
340,10200,170°,"119;32,36",430356,"0;00,05,36",168,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
341,10230,170°30′,"119;35,16",430516,"0;00,05,20",160,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
342,10260,171°,"119;37,48",430668,"0;00,05,04",152,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
343,10290,171°30′,"119;40,12",430812,"0;00,04,48",144,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
344,10320,172°,"119;42,28",430948,"0;00,04,32",136,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
345,10350,172°30′,"119;44,35",431075,"0;00,04,14",127,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
346,10380,173°,"119;46,34",431194,"0;00,03,58",119,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
347,10410,173°30′,"119;48,25",431305,"0;00,03,42",111,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
348,10440,174°,"119;50,08",431408,"0;00,03,26",103,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
349,10470,174°30′,"119;51,43",431503,"0;00,03,10",95,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
350,10500,175°,"119;53,09",431589,"0;00,02,52",86,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
351,10530,175°30′,"119;54,27",431667,"0;00,02,36",78,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
352,10560,176°,"119;55,37",431737,"0;00,02,20",70,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
353,10590,176°30′,"119;56,39",431799,"0;00,02,04",62,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
354,10620,177°,"119;57,32",431852,"0;00,01,46",53,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
355,10650,177°30′,"119;58,17",431897,"0;00,01,30",45,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
356,10680,178°,"119;58,54",431934,"0;00,01,14",37,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
357,10710,178°30′,"119;59,23",431963,"0;00,00,58",29,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
358,10740,179°,"119;59,44",431984,"0;00,00,42",21,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
359,10770,179°30′,"119;59,56",431996,"0;00,00,24",12,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
360,10800,180°,"120;00,00",432000,"0;00,00,08",4,"120*sin(arc/2), rounded to sexagesimal seconds; used only as modern QA witness",MODERN_NUMERIC_QA_ONLY_NOT_SOURCE_TRANSCRIPTION
